category_name dish_name price description image-src votes
"Burgers, Buns & Sandwiches" "Healthy Tawa Paneer Burger" ₹265 "Whole wheat buns, wholesome pan toasted pure paneer patty and homely spices for ... read more" https://b.zmtcdn.com/data/dish_photos/273/22635ac9e3fdc5df6f93b7336e160273.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Burgers, Buns & Sandwiches" "Indie Egg Bun" ₹170 "A classic breakfast sandwich with eggs, lettuce and mayo" https://b.zmtcdn.com/data/dish_photos/c94/c36518cbbd070640b75e796fdfc0fc94.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Burgers, Buns & Sandwiches" "Kulcha Burger" ₹250 "Kulcha breads with a crispy veg patty" https://b.zmtcdn.com/data/dish_photos/402/814f47572da825539a63f53c00519402.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Burgers, Buns & Sandwiches" "Loaded Big Boy Burger" ₹260 "Cheese, fries and a juicy toppings between whole wheat buns for a complete ... read more"  
"Burgers, Buns & Sandwiches" "Mexican Cheese Burger" ₹230 "Veg Burger with mexican chipotle and cheese"  
"Burgers, Buns & Sandwiches" "Nachos W Salsa" ₹210 "Nachos baked with veggies and diced cheese" https://b.zmtcdn.com/data/dish_photos/745/c2682ab408c0011e5e86eacf703c0745.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Burgers, Buns & Sandwiches" "Paneer Kulcha" ₹260 "Chatpata Paneer mix stuffed between our favoruite kulcha breads" https://b.zmtcdn.com/data/dish_photos/866/dc1338e6aa13f2827fe220cb2e9f8866.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Burgers, Buns & Sandwiches" "Paneer Wrap" ₹250 "Paneer cubes with veggies wrapped in a tortilla wrap sheet" https://b.zmtcdn.com/data/dish_photos/017/d785fdbeb6d5825061f1b88770eea017.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Burgers, Buns & Sandwiches" "Peri Peri Paneer Sandwich" ₹250 "A 3 layered spicy retreat sandwich with cottage cheese and peri peri spice ... read more" https://b.zmtcdn.com/data/dish_photos/791/2e73561540ff094bdde1b847227fa791.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Burgers, Buns & Sandwiches" "Spicy Paneer Burger" ₹260 "A burger with a crunchy paneer patty soaked in a spicy marinade" https://b.zmtcdn.com/data/dish_photos/8b9/55bb19e6cfc30a3323a7a97dcf79d8b9.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Burgers, Buns & Sandwiches" "Spicy Paneer Sub" ₹280 "A subway style sandwich with spicy paneer filling and tandoori sauce" https://b.zmtcdn.com/data/dish_photos/7bb/d80e11aa6574cb4f64ae9f55e3e317bb.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Burgers, Buns & Sandwiches" "Tandoori Paneer Sw" ₹265 "Pan seared paneer & veggies cooked in a tandoori blend." https://b.zmtcdn.com/data/dish_photos/f52/326cf79b24cfccdbfb2aa25cd67d6f52.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Burgers, Buns & Sandwiches" "Teekha Aloo Patty Burger" ₹240 "Crispy veggie patty with a spicy twist between whole wheat buns for a ... read more" https://b.zmtcdn.com/data/dish_photos/404/1a48269e9ff9a8df6a3bf47a87cc0404.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Burgers, Buns & Sandwiches" "Veg Wrap" ₹250 "Crispy veg patty in a tortilla wrap" https://b.zmtcdn.com/data/dish_photos/9f8/736430c2dfb73695f6b33ee2348639f8.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Burgers, Buns & Sandwiches" "Veggie Delight Sub" ₹265 "Potato crispy patty with cheese and chilly topping in a sub sandwich" https://b.zmtcdn.com/data/dish_photos/dfe/205efbec17995abf971c97af3c85ddfe.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Hot Beverages" Americano ₹185 "Espresso + Hot Water" https://b.zmtcdn.com/data/dish_photos/a2b/a804b4de7f20b1728e2e2ae25308ea2b.png?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Hot Beverages" "Burnt Caramel Latte" ₹255 "Espresso + Caramel Drizzle + Steamed Milk" https://b.zmtcdn.com/data/dish_photos/539/46d8cc35f414dc13f27d865505625539.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Hot Beverages" "Cafe Latte" ₹215 "Espresso + Steamed Milk" https://b.zmtcdn.com/data/dish_photos/bb8/f947c5b00e06d323b57c4edecae24bb8.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Hot Beverages" Cappuccino ₹195 "Espresso + Warm Milk + Milk Foam" https://b.zmtcdn.com/data/dish_photos/986/b87b2ff9dfc668d16fe014c09b2a6986.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* "9 votes"
"Hot Beverages" "Caramel Latte" ₹260 "Espresso + Caramel + Steamed Milk" https://b.zmtcdn.com/data/dish_photos/df3/15172766d48853d3e1dd4dcc89efadf3.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Hot Beverages" "Cinnamon Latte" ₹245 "Espresso _ Cinnamon + Steamed Milk" https://b.zmtcdn.com/data/dish_photos/463/c623a8ace6ca9e0ef2c69f9098868463.png?output-format=webp&fit=around|130:130&crop=130:130;*,* "6 votes"
"Hot Beverages" "Dark Hot Chocolate" ₹270  https://b.zmtcdn.com/data/dish_photos/2bd/2d7d92852b93071ff279fa3ab17952bd.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* "5 votes"
"Hot Beverages" "Double Shot Cappuccino" ₹215 "60 ml Espresso + Milk Foam" https://b.zmtcdn.com/data/dish_photos/4e5/5abe6399e4f341fc8f40f4641e9454e5.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* "5 votes"
"Hot Beverages" Espresso ₹165 "30 ml Pure Coffee Shot" https://b.zmtcdn.com/data/dish_photos/947/abadc0263ded0b561e8b129db6e0c947.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Hot Beverages" "Hazelnut Latte" ₹260 "Espresso + Hazelnut + Steamed Milk" https://b.zmtcdn.com/data/dish_photos/5b7/ee42b6256c474ce4fcd9140b057275b7.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Hot Beverages" "Hazelnut Mocha Latte" ₹270 "Espresso + Hazelnut + Steamed Milk + Cocoa" https://b.zmtcdn.com/data/dish_photos/deb/870205725bbed6386bcff1bf1361edeb.png?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Hot Beverages" "Long Black" ₹200 "Double Espresso + Hot Water"  
"Hot Beverages" "Mocha Latte" ₹255 "Espresso + Hot Chocolate + Steamed Milk" https://b.zmtcdn.com/data/dish_photos/667/2b24d11dc48c8c1c7419a5a659008667.png?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Hot Beverages" "Spanish Latte" ₹255 "Espresso + Condensed Milk + Milk Foam" https://b.zmtcdn.com/data/dish_photos/513/b87e77fe252e8f5b2580e95378ede513.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Hot Beverages" "Vanilla Bean Latte" ₹255 "Espresso + Vanilla Flavour + Steamed Milk" https://b.zmtcdn.com/data/dish_photos/630/052259e33b07b8a033e4b55d90580630.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Hot Beverages" "Vegan Coffee" ₹240 "Espresso + Almond/Oat Milk" https://b.zmtcdn.com/data/dish_photos/06c/0662a11a6bea8329d27b88350076706c.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
